adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/bab3M73GxIf0UfxPeXG1GsGjnXu.jpg,18,9713,en,Holy Man,"In a world governed by commerce, Ricky and Kate, dedicated employees, find their lives forever changed when they encounter the enigmatic stranger G. As they navigate the realm of commerce, their paths intertwine in a surreal dance of love, loss, and redemption. G's presence, amplified through the pervasive influence of globalized television, casts a spell that reverberates beyond Ricky and Kate, impacting the lives of those who bear witness to their intertwined destinies.",14.458,/sfJBsOdSbgLLarO6GIS0dWzFcCv.jpg,1998-10-08,Holy Man,False,5.221,396
False,/cTDoeA4zEJMP0it4VYe0ACFaJ4N.jpg,35,38223,en,Harriet the Spy,"When the secret notebook of a young girl who fancies herself a spy is found by her friends, her speculations make her very unpopular! Can she win her friends back?",22.954,/spTUUMgIVm4gOdWL35IoYWEuZQl.jpg,1996-07-10,Harriet the Spy,False,6.023,173
False,/qpHQMt7zzlEkN3R4zMsYkqhgpeK.jpg,878,10048,en,Stealth,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war.",24.52,/eVmOkUrEIRm6DKusKbI1gVS8paQ.jpg,2005-07-27,Stealth,False,5.388,978
False,/pc3GErXMuP9Uol3pPc6Tk5TwWwP.jpg,878,9296,en,S1m0ne,"The career of a disillusioned producer, who is desperate for a hit, is endangered when his star walks off the film set. Forced to think fast, the producer decides to digitally create an actress ""Simone"" to sub for the star — the first totally believable synthetic actress.",22.27,/mdHEOCSGPvwa9pYiV1ZDZ1ihj42.jpg,2002-08-23,S1m0ne,False,5.9,856
False,/qVrASD7cuRrGryDwhVK6RXlOwMy.jpg,18,18276,en,Hoot,"A young man moves from Montana to Florida with his family, where he's compelled to engage in a fight to protect a population of endangered owls.",18.52,/l3gbiQkSLXPRkJnH7QInA5zrk6n.jpg,2006-11-03,Hoot,False,5.627,118
False,/79DCmGXL8elS9bjRlwo9TgRfsu9.jpg,28,11088,en,Heist,"Joe Moore has a job he loves. He's a thief. His job goes sour when he gets caught on security camera tape. His fence, Bergman, reneges on the money he's owed, and his wife may be betraying him with the fence's young lieutenant. Moore and his partner, Bobby Blane, and their utility man, Pinky Pincus, find themselves broke, betrayed, and blackmailed. Moore is forced to commit his crew to do one last big job.",17.761,/5yKomryA4Oak54fPjBS9TXBmYji.jpg,2001-11-09,Heist,False,6.3,509
False,/ggwu46wFinZy0ovyganeVqjLPLx.jpg,27,376570,en,Hush,A deaf woman is stalked by a psychotic killer in her secluded home.,20.437,/zHzBTd502IZf60x8n2g0TB01vPF.jpg,2016-03-12,Hush,False,6.73,4416
False,/7pZtTbxn8d6Blgcf4EUysdEu3bO.jpg,53,25941,en,Harry Brown,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,19.711,/lk9qVzvPHuL2vX9ixNut9n0KfYD.jpg,2009-11-11,Harry Brown,False,6.805,996
False,/kcBlY5FasH8ti150aYExULw53ui.jpg,18,16052,en,Selena,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an English-language album which, tragically, she would never complete.",43.178,/j8xX3yBAFOayfSaImgLZPnAcdWz.jpg,1997-03-21,Selena,False,7.717,1178
False,/6rZNmdFPMoKvufR5MeiNpPMWcMy.jpg,28,24264,en,Sheena,"Sheena's parents are killed while on Safari. She is raised by the mystical witch woman of an African tribe. When her foster mother is framed for the murder of a political leader, Sheena and a newsman, Vic Casey, are forced to flee while pursued by the mercenaries hired by the real killer, who hopes to assume power. Sheena's ability to talk to the animals and knowledge of jungle lore give them a chance against the high tech weapons of the mercenaries.",27.427,/eCLoPrB7TKRZnJ38jHvrulR6H65.jpg,1984-08-17,Sheena,False,5.709,134
