adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/uCAy0n0WHTGU4d3LMJtE0fQxCej.jpg,"[10751, 16, 35, 14]",481084,en,The Addams Family,"The Addams family's lives begin to unravel when they face-off against a treacherous, greedy crafty reality-TV host while also preparing for their extended family to arrive for a major celebration.",69.976,/q1epO0eO8DWu8Vo8tPfvVlzW48T.jpg,2019-10-10,The Addams Family,False,6.621,2198
False,/1oaLxMtdn47TWdaty8BwdU4oXhV.jpg,"[18, 53, 80]",64690,en,Drive,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",69.964,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,2011-09-15,Drive,False,7.576,12102
False,/1K3JmSNUN8OpjYsCjc0Hy0SYxAb.jpg,"[878, 28, 12]",102899,en,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",69.853,/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,2015-07-14,Ant-Man,False,7.079,19154
False,/pdhDFmVQSA0f5i5IL0gpWROjgZ5.jpg,"[10749, 35]",621,en,Grease,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",69.844,/6IGgKZh0ONwtGtr9iDW3M8ZUziO.jpg,1978-07-07,Grease,False,7.397,6942
False,/uwb6ojh9Xc0dqJI3hIE1cxk3tPu.jpg,[35],173185,fr,20 ans d'écart,"38-year-old Alice has everything to become the next editor-in-chief of Rebelle magazine except for her uptight image. But when the young and charming Balthazar, barely 20, crosses Alice's path, she realizes that he holds the key to her promotion.",69.833,/33q9xUJhpi5JUWr1uSUyUvctR7p.jpg,2013-03-06,It Boy,False,6.409,1348
False,/7PoWlbQg7ZxgwofFRrkytvpLvJD.jpg,"[878, 28, 53]",169,en,Predator 2,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,69.795,/83X4VwY9sdSJykskmsplIVG0a4h.jpg,1990-11-21,Predator 2,False,6.275,3061
False,/30XLt1HzwOsdciWVaYVxlJq3cjH.jpg,"[12, 16, 10751, 14, 878]",9016,en,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms on their journey to find treasure.",69.747,/qKpxGBkksllc2oe6Y0YDKc1A232.jpg,2002-11-26,Treasure Planet,False,7.543,3970
False,/sqcqFzAj3IPSFprQSLHr5JOBU4m.jpg,"[10751, 12, 35, 14, 16]",228165,en,The SpongeBob Movie: Sponge Out of Water,"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.",69.687,/2WDmjUlSAPlA27i2OwEC7sRTFw3.jpg,2015-01-28,The SpongeBob Movie: Sponge Out of Water,False,6.067,2254
False,/eAIHqfS3kXm7kZl4j7ZBfdegyEz.jpg,"[53, 28, 80]",38700,en,Bad Boys for Life,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",69.642,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,2020-01-15,Bad Boys for Life,False,7.13,7722
False,/jqFjgNnxpXIXWuPsyfqmcLXRo9p.jpg,"[80, 53]",500,en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",69.607,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,1992-09-02,Reservoir Dogs,False,8.128,13737
